 || 322222222|| 3 || 0 || won
 || 2222|| 3 || 0 || won
 || 4192222 || 8 || 0 || lost
 || 82222222 || 7 || 0 || lost
 || 222222222 || 23 || 0 || lost
 || 0 || 4 || 0 || lost
 || 0 || 3 || 0 || lost
 || 0 || 3 || 0 || lost
ÑÑÑÑÑÑÑÑÑ || 385 || 4 || 0 || lost
 || 392 || 3 || 0 || lost
sss || 473 || 5 || 0 || lost
sssssssss || 637 || 6 || 0 || lost
sssssssss || 1549 || 17 || 0 || lost
wwwwwwwww || 1088 || 12 || 0 || lost
 || 435 || 4 || 0 || lost
 || 606 || 5 || 0 || lost
 || 4033 || 39 || 0 || lost
 || 1898 || 23 || 0 || lost
 || 844 || 17 || 0 || lost
 || 357 || 14 || 0 || lost
 || 865 || 14 || 0 || lost
 || 4034 || 36 || 0 || lost
 || 33 || 2 || 0 || lost
 || 0 || 3 || 0 || lost
 || 4332 || 41 || 0 || lost
 || 0 || 3 || 0 || lost
